div,data,TeamBlue,TeamPurple,MPB,MPP,MR,TRB,TRP,FRR,RB,RP,W10B,L10B,W10P,L10P,HWB,HWP,GBB,GBP,BO,url
lcs-s-16,2016-02-21,Team Dignitas - LoL,Team Solomid,1,0,B,58,23,B,892,1126,7.0,24.0,7.0,24.0,75.0,25.0,21.0,79.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98341-team-dignitas-lol-vs-team-solomid
lcs-s-16,2016-01-31,Echo Fox,Counter Logic Gaming LoL,0,1,P,48,11,P,962,1221,6.0,15.0,6.0,15.0,100.0,0.0,100.0,0.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98291-echo-fox-vs-counter-logic-gaming-lol
lcs-s-16,2016-03-20,Team Liquid LoL,Team Dignitas - LoL,1,0,B,22,58,B,1131,892,20.0,22.0,20.0,22.0,37.5,62.5,87.0,13.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98323-team-liquid-lol-vs-team-dignitas-lol
lcs-s-16,2016-01-24,Immortals,NRG eSports,1,0,B,5,37,B,1284,1022,18.0,10.0,18.0,10.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98259-immortals-vs-nrg-esports
lcs-s-16,2016-02-07,Team Solomid,Echo Fox,1,0,B,23,48,B,1126,962,20.0,11.0,20.0,11.0,0.0,100.0,92.0,8.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98273-team-solomid-vs-echo-fox
lcs-s-16,2016-01-23,Counter Logic Gaming LoL,Team Liquid LoL,1,0,B,11,22,B,1221,1131,27.0,13.0,27.0,13.0,75.0,25.0,75.0,25.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98256-counter-logic-gaming-lol-vs-team-liquid-lol
lcs-s-16,2016-03-19,NRG eSports,Counter Logic Gaming LoL,0,1,P,37,11,P,1022,1221,8.0,15.0,8.0,15.0,100.0,0.0,17.0,83.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98332-nrg-esports-vs-counter-logic-gaming-lol
lcs-s-16,2016-01-18,Immortals,Team Impulse,1,0,B,5,45,B,1284,972,18.0,18.0,18.0,18.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98298-immortals-vs-team-impulse
lcs-s-16,2016-01-17,Team Liquid LoL,Renegades - LoL,0,1,P,22,33,P,1131,1052,20.0,13.0,20.0,13.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98266-team-liquid-lol-vs-renegades-lol
lcs-s-16,2016-01-24,Cloud 9,Counter Logic Gaming LoL,1,0,B,19,11,B,1141,1221,22.0,15.0,22.0,15.0,62.5,37.5,62.5,37.5,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98295-cloud-9-vs-counter-logic-gaming-lol
